CurrentHandle,NameFirst NameLast,CountryCode
dupreeh,Peter Rasmussen,dk
Xyp9x,Andreas Højsleth,dk
dev1ce,Nicolai Reedtz,dk
gla1ve,Lukas Rossander,dk
Magisk,Emil Reif,dk
Stewie2k,Jakey Yip,us
TACO,Epitácio de Melo,br
fer,Fernando Alvarenga,br
FalleN,Gabriel Toledo,br
coldzera,Marcelo David,br
NAF,Keith Markovic,ca
karrigan,Finn Andersen,dk
ELiGE,Jonathan Jablonowski,us
nitr0,Nick Cannella,us
JW,Jesper Wecksell,se
olofmeister,Olof Kajbjer,se
flusha,Robin Rönnquist,se
KRiMZ,Freddy Johansson,se
Twistzz,Russel Van Dulken,ca
apEX,Dan Madesclaire,fr
NBK,Nathan Schmitt,fr
GuardiaN,Ladislav Kovács,sk
tarik,Tarik Celik,us
rain,Håvard Nygaard,no
NiKo,Nikola Kovač,ba
flamie,Egor Vasilyev,ru
kennyS,Kenny Schrub,fr
Zeus,Daniil Teslenko,ua
s1mple,Alexander Kostylev,ua
shox,Richard Papillon,fr
snax,Janusz Pogorzelski,pl
Kjaerbye,Markus Kjærbye,dk
Edward,Ioann Sukharev,ua
neo,Filip Kubski,pl
chrisJ,Chris de Jong,nl
TaZ,Wiktor Wojtas,pl
Rush,Will Wierzba,us
pashaBiceps,Jarosław Jarząbkowski,pl
byali,Paweł Bieliński,pl
f0rest,Patrik Lindberg,se
electroNic,Denis Sharipov,ru
GeT_RiGhT,Christopher Alesund,se
Xizt,Richard Landström,se
ropz,Robin Kool,ee
RpK,Cédric Guipouy,fr
Happy,Vincent Schopenhauer,fr
stanislaw,Peter Jarguz,ca
Lekr0,Jonas Olofsson,se
autimatic,Timothy Ta,us
Golden,Maikil Selim,se
Skadoodle,Tyler Latham,us
allu,Aleksi Jalli,fi
cajunb,Renè Borg,dk
AdreN,Dauren Kystaubayev,kz
friberg,Adam Friberg,se
k0nfig,Kristian Wienecke,dk
Brehze,Vincent Cayonte,us
nahtE,Ethan Arnold,us
fnx,Lincoln Lau,br
boltz,Ricardo Prass,br
KIOSHIMA,Fabien Fiey,fr
CeRq,Cvetelin Nikolov,bg
dennis,Dennis Edman,se
MSL,Mathias Lauridsen,dk
seized,Denis Kostin,ru
oskar,Tomáš Šťastný,cz
ZywOo,Mathieu Herbaut,fr
aizy,Philip Aistrup,dk
suNny,Miikka Kemppi,fi
Valde,Valdemar Vangså,dk
felps,João Vasconcellos,br
Dosia,Mikhail Stolyarov,ru
XANTARES,Can Dörtkardes,tr
bodyy,Alexandre Pianaro,fr
STYKO,Martin Styk,sk
woxic,Özgür Eker,tr
REZ,Fredrik Sterner,se
Aleksib,Aleksi Virolainen,fi
Qikert,Alexey Golubev,kz
mou,Rustem Tlepov,kz
Buster,Timur Tulepov,kz
Jame,Ali Dzhami,ru
SIXER,Christophe Xia,fr
HObbit,Abay Khasenov,kz
SmithZz,Edouard Dubourdeaux,fr
frozen,David Čerňanský,sk
poiz0n,Valentin Vasilev,bg
daps,Damian Steele,ca
twist,Simon Eliasson,se
hen1,Henrique Teles,br
ScreaM,Adil Benrlitom,be
mixwell,Oscar Cañellas,es
tabseN,Johannes Wodarz,de
ALEX,Alex McMeekin,gb
Furlan,Damian Kisłowski,pl
somebody,HaoWen Xu,cn
n0thing,Jordan Gilbert,us
rallen,Karol Rodowicz,pl
Amanek,Francois Delaunay,fr
SANJI,Sanjar Kuliev,uz
N0tail,Johan Sundstein,dk
JerAx,Jesse Vainikka,fi
ana,Anathan Pham,au
Ceb,Sébastien Debs,fr
Topson,Topias Taavitsainen,fi
KuroKy,Kuro Takhasomi,de
Miracle-,Amer Al-Barkawi,jo
MinD_ContRoL,Ivan Ivanov,bg
GH,Maroun Merhej,lb
Matumbaman,Lasse Urpalainen,fi
SumaiL,Sumail Hassan,pk
UNiVeRsE,Saahil Arora,us
ppd,Peter Dager,us
Somnus丶M,Lu Yao,cn
fy,Linsen Xu,cn
Puppey,Clement Ivanov,ee
Fear,Clinton Loomis,us
s4,Gustav Magnusson,se
Zai,Ludwig Wåhlberg,se
Fly,Tal Aizik,il
w33,Aliwi Omar,ro
Arteezy,Artour Babaev,ca
Ame,Chunyu Wang,cn
y`,Zhang Yiping,cn
Faith_bian,Zhang Ruida,cn
Cr1t,Andreas Nielsen,dk
Aui_2000,Kurtis Ling,ca
iceice,Peng Li,cn
Shadow,Chu Zeyu,cn
bLink,Zhou Yang,cn
xNova,Jianwei Yap,my
Chalice,Shenyi Yang,cn
xiao8,Ning Zhang,cn
kpii,Damien Chok,au
RAMZES666,Roman Kushnarev,ru
KaKa,Liangzhi Hu,cn
MidOne,Yeik Nai Zheng,my
Solo,Alexei Berezin,ru
Hao,Zhihao Chen,cn
Faith,Hongda Zeng,cn
9pasha,Pavel Khvastunov,ru
Noone,Vladimir Minenko,ua
Super,Junhao Xie,cn
iceiceice,Daryl Pei Xiang Koh,sg
YapzOr,Yazied Jaradat,jo
MiSeRy,Rasmus Fillipsen,dk
Resolut1on,Roman Fominok,ua
Fenrir,Chao Lu,cn
Mu,Pan Zhang,cn
LaNm,Zhicheng Zhang,cn
DDC,Fa Ming Liang,mo
RodjER,Vladimir Nikogosyan,ru
FATA,Adrian Trinks,de
Sccc,Chun Song,cn
Banana,Wang Jiao,cn
Moogy,Xu Han,cn
Sylar,Jiajun Liu,cn
eLeVeN,Ren Yangwei,cn
SanSheng,Zhaohui Wang,cn
Yao,Zhengzheng Yao,cn
MMY!,Zengrong Lei,cn
Q,Bin Fu,cn
Saksa,Martin Sazdov,mk
Mushi,Yee Fung Chai,my
Paparazi,Chengjun Zhang,cn
pieliedie,Johan Åström,se
EternaLEnVy,Jacky Mao,ca
Nisha,Michał Jankowski,pl
Lil,Ilya Ilyuk,ua
Agressif,Zheng Sun,cn
BurNIng,Zhilei Xu,cn
MoonMeander,David Tan,ca
Ori,Jiaoyang Zeng,cn
Moo,David Hull,us
Yang,Haiyang Zhou,cn
Monet,Peng Du,cn
Dendi,Danil Ishutin,ua
DJ,Djardel Jicko Mampusti,ph
Ah-fu,Tue Soon Chuan,my
rOtK,Fan Bai,cn
Tims,Timothy Randrup,ph
Ace,Marcus Hoelgaard,dk
ChuaN,Hock Chuan Wong,my
KuKU,Kuku Palad,ph
garder,Xinzhou Liu,cn
Loda,Jonathan Berg,se
Xz,Zezhi Chen,cn
EGM,Jerry Lundqvist,se
XBOCT,Oleksandr Dashkevych,ua
Shiki,Jiwei Huang,cn
Akke,Joakim Akterhall,se
Fade,Pan Yi,cn
AdmiralBulldog,Henrik Ahnberg,se
Raven,Marc Polo Luis Fausto,ph
Febby,Yong Min Kim,kr
Inflame,Yongzheng He,cn
Dy,Cong Ding,cn
QO,Sunyeob Kim,kr
fng,Artem Barshack,by
MP,Noah Pyo,kr
Faker,Sang Hyeok Lee,kr
Duke,Ho Seong Lee,kr
Bang,Jun Sik Bae,kr
Wolf,Jae Wan Lee,kr
Bengi,Seong Ung Bae,kr
JackeyLove,Wen Bo Yu,cn
Rookie,Eui Jin Song,kr
Ning,Zhen Ning Gao,cn
Blank,Sun Gu Kang,kr
CoreJJ,Jo Yong-in,kr
Ambition,Chan Yong Kang,kr
Baolan,Liu Yi Wang,cn
Uzi,Zihao Jian,cn
Karsa,Hau Hsuan Hung,tw
TheShy,Dong Geun Kang,kr
Mata,Se Hyeong Cho,kr
Ruler,Jae Hyuk Park,kr
Impact,Jung Eon-yeong,kr
xiaohu,Yuan Hao Li,cn
CuVee,Seong Jin Lee,kr
Crown,Min Ho Lee,kr
Peanut,Wang Ho Han,kr
Mlxg,Shi Yu Liu,cn
PerkZ,Luka Perković,hr
ClearLove,Kai Ming,cn
Caps,Rasmus Winther,dk
PawN,Won Seok Heo,kr
Rekkles,Martin Larsson,se
sOAZ,Paul Boyer,fr
Deft,Hyuk Kyu Kim,kr
Jankos,Marcin Jankowski,pl
Ming,Sen Ming Shi,cn
PraY,Jong In Kim,kr
letme,Jun Ze Yan,cn
Haru,Min Seung Kang,kr
Huni,Seung Hoon Heo,kr
Looper,Hyeong Seok Jang,kr
Meiko,Ye Tian,cn
SwordArt,Shuo Jie Hu,tw
Wunder,Martin Hansen,dk
doinb,Tae Sang Kim,kr
GorillA,Beom Hyeon Kang,kr
Hylissang,Zdravec Gulubov,bg
imp,Seung Bin Gu,kr
Broxah,Mads Brock-Pedersen,dk
Doublelift,Peter Peng,us
Smeb,Kyung Ho Song,kr
Bwipo,Gabriël Rau,be
bebe,Bo Wei Cheng,tw
Sneaky,Zachary Scuderi,us
DanDy,In Kyu Choi,kr
Lwx,Wei Xiang Lin,cn
Tian,Tian Liang Gao,cn
kurO,Seo Haeng Lee,kr
GimGoon,Han Saem Kim,kr
Crisp,Qing Song Liu,cn
Piglet,Gwang Jin Chae,kr
Jensen,Nicolaj Jensen,dk
Koro1,Yang Tong,cn
Xmithie,Jake Puchero,ph
Svenskeren,Dennis Johnsen,dk
PoohManDu,Jeong Hyeon Lee,kr
Mithy,Alfonso Aguirre Rodriguez,es
Zven,Jesper Svenningsen,dk
Bjergsen,Søren Bjerg,dk
Easyhoon,Ji Hoon Lee,kr
Scout,Ye Chan Lee,kr
Maple,Yi Tang Huang,tw
Khan,Dong Ha Kim,kr
Zero,Kyung Sup Yoon,kr
